iter	Logloss
0	0.644347955
11	0.602495988422	0.567078144333	0.535942072544	0.50972226955	0.4889276512
6	0.4696354967
7	0.4536756548
8	0.4391947146
99	0.4246597511110	0.4141619233111	0.4048928308112	0.3974634411313	0.3903388721414	0.3844190519
15	0.3790007086
16	0.3745584636
17	0.3705073495
18	0.3668041263
19	0.3636966494
20	0.3608714689
21	0.3585768386
22	0.3564772023	23	0.3544780624	24	0.3526079925	25	0.3509944006
26	0.3497838079
27	0.3484209341
28	0.3474121097
29	0.3462640437
30	0.3452163931	31	0.3442333832	32	0.3435147933	33	0.342474653434	0.3417389135	35	0.3412349236	36	0.3405653837	37	0.3400128238	38	0.3395815639	39	0.3391365640	40	0.338595614141	0.3380181965
42	0.3376298754343	0.3374306244	44	0.3368733862
45	0.3365220083
46	0.3361659735
47	0.3359357983
48	0.3357003746
49	0.3353864363
50	0.335030201
51	0.334867979
52	0.3347407865
53	0.3345816007
54	0.3343260285
55	0.3340436518
56	0.3338396172
57	0.3336862036
58	0.3334932067
59	0.3332742974
60	0.3330637492
61	0.3329339029
62	0.3327113861
63	0.3324174121
64	0.3322105558
65	0.3318861637
66	0.331706522
67	0.3314814709
68	0.3311996731
69	0.3310704329
70	0.3307766466
71	0.3306190136
72	0.3304880661
73	0.3302871656
74	0.3301323926
75	0.3298286542
76	0.3296682938
77	0.3295089409
78	0.3293387361
79	0.3292397673
80	0.3291597248
81	0.3290861096
82	0.32900201
83	0.3288527347
84	0.3287361863
85	0.3286706945
86	0.3284147682
87	0.328285372
88	0.3282020006
89	0.3280468512
90	0.3279738711
91	0.3278996823
92	0.3274889021
93	0.3273312851
94	0.3272188213
95	0.3270247
96	0.3268938076
97	0.3266762775
98	0.3266014868
99	0.3265041122
100	0.3263905373
101	0.3263125389
102	0.326247824
103	0.3261673326
104	0.3259334709
105	0.3258695789
106	0.3257716421
107	0.3256049792
108	0.3254626434
109	0.325310843
110	0.3252538107
111	0.3251960184
112	0.3251258645
113	0.3250591633
114	0.3247816427
115	0.3246934161
116	0.3246282
117	0.3245206289
118	0.324462009
119	0.3243269424
120	0.3242669086
121	0.3242077845
122	0.3241580504
123	0.3240968604
124	0.3240404446
125	0.3239170868
126	0.3237285618
127	0.3236500729
128	0.3235755394
129	0.323469817
130	0.3233577719
131	0.3232475928
132	0.3232118197
133	0.3230605385
134	0.3230037129
135	0.3229538548
136	0.3229271176
137	0.3228527276
138	0.3227632882
139	0.3227270785
140	0.3226629893
141	0.3226241834
142	0.3225766984
143	0.3225026172
144	0.3224360867
145	0.3223707324
146	0.3222741526
147	0.3221682689
148	0.3220418055
149	0.3217218769
150	0.3214070319
151	0.3213228211
152	0.3212886392
153	0.3212453326
154	0.3211802258
155	0.3211348003
156	0.3210831981
157	0.3210487414
158	0.3209871517
159	0.3207413597
160	0.3206494519
161	0.3205602442
162	0.3205106253
163	0.3203719886
164	0.3202971873
165	0.320186482
166	0.3201265212
167	0.3200779182
168	0.3200188982
169	0.3199667323
170	0.3199145249
171	0.3198684943
172	0.3197781463
173	0.3197338679
174	0.3195971904
175	0.319512677
176	0.3194708569
177	0.3194027449
178	0.3193135374
179	0.3192586171
180	0.3189461496
181	0.3188549396
182	0.31878603
183	0.3187286785
184	0.3186691218
185	0.3186309489
186	0.3183377203
187	0.3182867418
188	0.3182160931
189	0.3181837347
190	0.3181170948
191	0.3180413644
192	0.3179222393
193	0.3177445575
194	0.3176470288
195	0.3175035285
196	0.3174572411
197	0.3173911585
198	0.3173198374
199	0.3171243054
200	0.3170936609
201	0.3170276943
202	0.3169523097
203	0.3168731843
204	0.3168080572
205	0.3167420047
206	0.3166826997
207	0.3166464979
208	0.316575296
209	0.3165111906
210	0.3164432399
211	0.3163431966
212	0.3162793086
213	0.3161220535
214	0.3160408688
215	0.3159703439
216	0.3158970338
217	0.3158460493
218	0.3158022261
219	0.3157145038
220	0.3156483353
221	0.3155890789
222	0.3155184558
223	0.3154420703
224	0.315350066
225	0.3152549509
226	0.3151954172
227	0.3149673876
228	0.3149281449
229	0.3148759159
230	0.3146810626
231	0.3146242623
232	0.3145640151
233	0.3145112542
234	0.3144191384
235	0.3143715525
236	0.314290842
237	0.3142444105
238	0.3141733532
239	0.3141253155
240	0.3140084446
241	0.3139622085
242	0.3138596735
243	0.3138075558
244	0.3137234514
245	0.3136779536
246	0.313570146
247	0.3135310894
248	0.3135022849
249	0.3134393196
250	0.3133470744
251	0.3132858564
252	0.3132435347
253	0.3132014117
254	0.3131627071
255	0.3131149866
256	0.3130451519
257	0.312865108
258	0.3128073778
259	0.3127703943
260	0.3126842848
261	0.3126487227
262	0.3125159776
263	0.3124792512
264	0.312434701
265	0.3123688434
266	0.3122989483
267	0.3122678501
268	0.3122177517
269	0.3121780355
270	0.3121199143
271	0.3120370206
272	0.312001027
273	0.3119505347
274	0.3118902184
275	0.3118130503
276	0.3116977924
277	0.3116667848
278	0.3115820438
279	0.3115322779
280	0.3114702907
281	0.3114158875
282	0.311378536
283	0.311331402
284	0.3113023665
285	0.311261541
286	0.3111931509
287	0.3111547191
288	0.3111220171
289	0.3110755698
290	0.3110366415
291	0.3109979955
292	0.3109071989
293	0.310870067
294	0.3108145533
295	0.3107705536
296	0.3107239137
297	0.3106945873
298	0.310650157
299	0.3105946272
300	0.3105577521
301	0.3105155228
302	0.3104527864
303	0.3103952569
304	0.3103638558
305	0.3102525135
306	0.310224361
307	0.3101549943
308	0.3101234963
309	0.3100866256
310	0.310035027
311	0.3100090836
312	0.3099611115
313	0.3099133043
314	0.3098550708
315	0.3097573984
316	0.3097117517
317	0.3096871296
318	0.3096519555
319	0.3095085814
320	0.3094033583
321	0.3093644427
322	0.309315167
323	0.3092880469
324	0.3092595819
325	0.3092258779
326	0.3091793727
327	0.3091346753
328	0.3091047536
329	0.3090581756
330	0.30892509
331	0.3088862005
332	0.3088368016
333	0.3088032799
334	0.3087763644
335	0.3086657193
336	0.3085857214
337	0.3085570818
338	0.3085110421
339	0.3084728875
340	0.3083939947
341	0.3083516719
342	0.3082597341
343	0.3082165084
344	0.3081640822
345	0.3081115287
346	0.3080614727
347	0.3079859295
348	0.3079347066
349	0.3079121691
350	0.3078861933
351	0.3078447377
352	0.3078295347
353	0.3077910975
354	0.3077624279
355	0.3077395006
356	0.3077100846
357	0.3076245563
358	0.3075735966
359	0.3075428418
360	0.3075128165
361	0.307473489
362	0.3074355969
363	0.3074109438
364	0.3073829001
365	0.3073429242
366	0.3073158088
367	0.3072819951
368	0.3072477483
369	0.3072092677
370	0.3071349296
371	0.3070733232
372	0.3070337037
373	0.3069751756
374	0.3069296037
375	0.3068968575
376	0.3068656757
377	0.3068392602
378	0.3067801397
379	0.3067416964
380	0.3066941342
381	0.3066409833
382	0.3066040066
383	0.3065502329
384	0.3064852314
385	0.306455355
386	0.3064187364
387	0.3063960542
388	0.3063572606
389	0.3063293488
390	0.3062832319
391	0.3062584855
392	0.3062141405
393	0.30617335
394	0.3061327368
395	0.3061044891
396	0.3060446011
397	0.306005716
398	0.3059805563
399	0.3059571101
400	0.305934844
401	0.3058949607
