iter	Passed	Remaining
0	14	14287
1	28	14229
2	43	14357
3	56	14050
4	78	15573
5	91	15196
6	106	15104
7	120	14907
8	134	14824
9	156	15474
10	171	15398
11	184	15213
12	198	15087
13	213	15007
14	226	14876
15	239	14751
16	254	14698
17	268	14621
18	282	14584
19	297	14563
20	311	14524
21	325	14478
22	340	14452
23	355	14462
24	370	14467
25	387	14516
26	401	14481
27	415	14419
28	429	14391
29	446	14437
30	460	14394
31	475	14394
32	488	14305
33	502	14273
34	519	14320
35	533	14295
36	548	14281
37	563	14266
38	578	14254
39	591	14198
40	606	14177
41	620	14159
42	633	14099
43	647	14072
44	661	14040
45	675	13998
46	690	13992
47	704	13965
48	719	13971
49	735	13973
50	749	13955
51	764	13939
52	781	13957
53	798	13980
54	824	14165
55	839	14159
56	855	14152
57	871	14159
58	888	14166
59	902	14138
60	916	14108
61	929	14064
62	941	14001
63	956	13985
64	968	13937
65	984	13937
66	1000	13927
67	1014	13904
68	1029	13885
69	1042	13848
70	1056	13826
71	1071	13810
72	1085	13782
73	1105	13836
74	1125	13875
75	1137	13826
76	1151	13801
77	1164	13759
78	1179	13746
79	1194	13731
80	1207	13696
81	1234	13818
82	1249	13803
83	1262	13768
84	1276	13745
85	1290	13711
86	1302	13666
87	1317	13650
88	1331	13631
89	1346	13615
90	1359	13581
91	1373	13554
92	1385	13513
93	1399	13488
94	1412	13454
95	1426	13428
96	1440	13410
97	1453	13381
98	1467	13357
99	1482	13345
100	1497	13330
101	1512	13314
102	1526	13295
103	1540	13269
104	1555	13258
105	1570	13244
106	1583	13217
107	1598	13201
108	1611	13176
109	1624	13145
110	1638	13124
111	1652	13098
112	1666	13080
113	1679	13053
114	1693	13028
115	1706	13006
116	1720	12981
117	1734	12965
118	1751	12968
119	1765	12950
120	1780	12934
121	1794	12914
122	1807	12889
123	1820	12863
124	1833	12836
125	1848	12819
126	1863	12806
127	1893	12900
128	1907	12876
129	1920	12853
130	1934	12830
131	1947	12805
132	1960	12781
133	1975	12768
134	1990	12755
135	2004	12735
136	2018	12715
137	2032	12696
138	2045	12671
139	2058	12647
140	2072	12627
141	2085	12603
142	2099	12583
143	2113	12564
144	2128	12548
145	2141	12525
146	2154	12502
147	2167	12476
148	2180	12454
149	2193	12432
150	2207	12414
151	2221	12394
152	2235	12374
153	2248	12353
154	2261	12330
155	2276	12316
156	2291	12302
157	2314	12333
158	2328	12314
159	2342	12295
160	2355	12277
161	2368	12252
162	2382	12231
163	2396	12218
164	2411	12204
165	2439	12256
166	2453	12237
167	2467	12221
168	2481	12200
169	2495	12183
170	2510	12168
171	2524	12151
172	2538	12136
173	2553	12119
174	2567	12102
175	2581	12084
176	2595	12068
177	2608	12048
178	2623	12034
179	2639	12022
180	2653	12008
181	2668	11994
182	2684	11983
183	2697	11961
184	2711	11946
185	2725	11926
186	2739	11911
187	2755	11899
188	2768	11880
189	2782	11861
190	2796	11843
191	2810	11829
192	2825	11812
193	2839	11797
194	2852	11773
195	2866	11760
196	2880	11741
197	2894	11724
198	2908	11706
199	2921	11685
200	2935	11667
201	2948	11646
202	2963	11633
203	2977	11619
204	2992	11603
205	3005	11585
206	3019	11568
207	3041	11580
208	3054	11560
209	3068	11543
210	3082	11527
211	3096	11509
212	3111	11497
213	3126	11484
214	3141	11468
215	3155	11455
216	3174	11455
217	3187	11435
218	3202	11419
219	3216	11404
220	3230	11388
221	3244	11371
222	3258	11353
223	3270	11331
224	3284	11314
225	3296	11288
226	3310	11273
227	3324	11258
228	3340	11247
229	3353	11227
230	3366	11207
231	3381	11194
232	3395	11177
233	3408	11157
234	3423	11143
235	3438	11131
236	3451	11112
237	3464	11092
238	3478	11074
239	3492	11060
240	3524	11100
241	3538	11083
242	3551	11062
243	3564	11045
244	3576	11021
245	3591	11008
246	3604	10989
247	3619	10975
248	3634	10961
249	3648	10945
250	3662	10928
251	3677	10914
252	3691	10898
253	3704	10878
254	3717	10861
255	3730	10841
256	3744	10825
257	3759	10812
258	3773	10795
259	3787	10779
260	3801	10763
261	3815	10746
262	3830	10735
263	3846	10722
264	3860	10706
265	3874	10690
266	3891	10684
267	3906	10668
268	3919	10651
269	3946	10669
270	3959	10651
271	3973	10634
272	3986	10616
273	4001	10601
274	4017	10590
275	4030	10572
276	4043	10554
277	4057	10538
278	4082	10550
279	4095	10531
280	4109	10515
281	4123	10497
282	4137	10482
283	4151	10466
284	4165	10449
285	4178	10431
286	4191	10412
287	4205	10397
288	4219	10380
289	4232	10361
290	4245	10342
291	4258	10325
292	4270	10305
